classicism_n_early_romanticism;Prestormic Tales & Evocationism;;;;;;;;;;;;;
romanticism;Yishenism;;;;;;;;;;;;;
romanticist_literature;Yishen Literature;;;;;;;;;;;;;
romanticist_art;Yishen Art;;;;;;;;;;;;;
romanticist_music;Yishen Music;;;;;;;;;;;;;
realism;Structurism;;;;;;;;;;;;;
realist_literature;Structurist Literature;;;;;;;;;;;;;
realist_art;Structurist Art;;;;;;;;;;;;;
realist_music;Structurist Music;;;;;;;;;;;;;
impressionism;Vitalism;;;;;;;;;;;;;
impressionist_literature;Vitalist Literature;;;;;;;;;;;;;
impressionist_art;Vitalist Art;;;;;;;;;;;;;
impressionist_music;Vitalist Music;;;;;;;;;;;;;
expressionism;Meaningism;;;;;;;;;;;;
mass_culture_n_the_avant_garde;Palimpsestism;;;;;;;;;;;;
late_enlightenment_philosophy;Awakening Philosophy;;;;;;;;;;;;;
idealism;Datism;;;;;;;;;;;;;
empiricism;Unicism;;;;;;;;;;;;;
analytic_philosophy;Presentialism;;;;;;;;;;;;;
phenomenology_n_hermeneutic;Bleifjinism;;;;;;;;;;;;;
anti__rationalism;The Retro-Saturation;;;;;;;;;;;;
malthusian_thought;Hughes' Postulates;;;;;;;;;;;;
positivism;Integrationism;;;;;;;;;;;;
