NORMAL_WAR_PUPPET_NAME_SWI_PAR;$ORDER$Schweiz Intervention in Parma;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_QUE_SCO;$ORDER$Greenlandic War;;;;;;;;;;;;;
NORMAL_WAR_TAKE_NAME_SCO_QUE;$ORDER$Greenlandic War;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_NET_ETH;$ORDER$Koudrel Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_OUD_ETH;$ORDER$Oudlander Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_NUR_ETH;$ORDER$Nieuwlander Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_UNS_ETH;$ORDER$Unionist Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_HAE_ETH;$ORDER$Holy Australian Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_ITA_ETH;$ORDER$Italian Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_JAR_ETH;$ORDER$Jardino Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_APU_ETH;$ORDER$Apugliese Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_SWI_ETH;$ORDER$Schweiz Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_SIB_ETH;$ORDER$Kriloskiy Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_OMS_ETH;$ORDER$Omskiy Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_ESS_ETH;$ORDER$Yankee Intervention in Ma'ibeli Empire;;;;;;;;;;;;;
EVTNAME59000;The Delta War;;;;;;;;;;;;;
EVTDESC59000;In $YEAR$, a dozen of Greco-Coptic farmers crossed the border, claiming the land as theirs' and raiding some Misri villages. As the Greco-Coptic government refused to give explanations and allow investigation, war was seemingly inevitable.;;;;;;;;;;;;;x
EVT59000OPTA;Those cowards will learn when one should talk or be silent.;;;;;;;;;;;;;
EVTNAME357689;Ozpox;;;;;;;;;;;;;
EVTDESC357689;The sacred ruins of Koltsovo had been untouched by humans since the times of the Storm. Old sayings affirmed that those who disrupt its calm will awaken a curse upon all mankind. In $YEAR$ a group of scientists foolishly enter the place, and PUPPETd a plague which will be know until the next century as "Ozpox".;;;;;;;;;;;;;x
EVT357689OPTA;A doom for all humanity.;;;;;;;;;;;;;
EVTNAME357690;Ozpox Spreads!;;;;;;;;;;;;;
EVTDESC357690;Authorities have confirmed the presence of Ozpox in $PROVINCENAME$, with dozens already infected. While emergency measures are being enacted, the means by which the disease spreads are still unknown.;;;;;;;;;;;;;
EVT357690OPTA;We can only hope the best...;;;;;;;;;;;;;
EVTNAME357691;Ozpox arrives to $COUNTRY$;;;;;;;;;;;;;
EVTDESC357691;In recent days, a new disease known as "Ozpox" has been reported to be present in the country. The extent to which this plague has spread remains unknown.;;;;;;;;;;;;;
EVT357691OPTA;Blast.
EVTNAME357692;Infected Inmigrants;;;;;;;;;;;;;
EVTDESC357692;It has been discovered that several foreigners within our borders are infected with a new disease known as "Ozpox". As the nature and capabilities of this disease remain unknown, we should begin taking precautionary measures.;;;;;;;;;;;;;
